index	isL5IT
SM-D9D7Q_S26	1
SM-DAIFA_S48	0
LS-15501_S30	1
LS-15520_S48	0
SM-DAIFH_S22	1
SM-DAIG8_S30	0
SM-GE66H_S181	0
LS-15522_S55	1
SM-DD44A_S88	1
SM-D9D7Q_S31	1
SM-DAIG6_S17	0
SM-GE65I_S122	0
SM-DAIFI_S12	1
LS-15524_S79	1
SM-DAIG7_S87	0
SM-DD44P_S64	0
SM-DAIHD_S05	1
SM-DD43Q_S47	1
SM-DD43M_S45	1
SM-D9D87_S32	0
SM-D9D87_S23	0
SM-D9E5S_S86	1
SM-GE63U_S039	0
SM-D9E5X_S49	0
LS-15510_S06	1
SM-DAIGQ_S14	0
SM-DD43R_S28	1
SM-DAIGR_S25	0
SM-DAIFT_S06	0
SM-DAIH5_S45	0
SM-DAIFC_S36	0
SM-DAIFT_S01	0
SM-D9D8C_S13	0
SM-DAIGV_S47	0
SM-DAIG6_S19	0
SM-D9D84_S22	1
SM-D9D7Y_S22	0
SM-GE65I_S101	0
SM-DD44P_S56	0
SM-DD44P_S57	0
SM-DAIGA_S07	1
SM-DAIG7_S93	1
SM-DAIGK_S30	0
SM-DAIFH_S18	1
SM-D9D8C_S94	0
SM-DAIFU_S03	0
SM-DAIGR_S50	0
SM-DAIGW_S53	1
SM-DD44Q_S80	0
SM-DAIGW_S02	0
SM-D9D85_S46	0
SM-D9D7Q_S29	1
LS-15396_S58	1
LS-15500_S22	0
SM-DAIHE_S55	1
LS-15533_S09	1
SM-D9E5N_S93	1
SM-GE63K_S077	0
SM-GE668_S014	0
SM-D9E5U_S18	1
SM-GE65R_S126	0
SM-D9EQK_S19	1
SM-D9E5S_S95	1
SM-D9E5W_S21	0
SM-D9EQU_S67	1
SM-DAIGW_S05	0
SM-DAIG9_S70	1
LS-15396_S57	1
SM-D9D8H_S32	0
LS-15534_S09	1
SM-D9E5V_S10	1
SM-DAIG4_S26	1
LS-15522_S54	1
SM-DAIFH_S14	0
SM-D9D8Q_S19	0
SM-DAIFU_S30	0
SM-DAIGK_S56	0
SM-D9D8H_S51	0
SM-GE8ZO_S052	0
LS-15396_S63	1
SM-D9D85_S07	0
LS-15521_S36	1
SM-DAIHG_S50	1
SM-D9D8I_S80	0
SM-D9D8C_S16	0
SM-GE63U_S112	0
SM-D9E5E_S05	1
LS-15396_S42	1
LS-15522_S61	1
SM-DAIHE_S45	1
SM-D9EQH_S56	0
SM-GE8ZO_S054	0
LS-15521_S12	1
SM-DAIFU_S09	0
SM-D9D8O_S14	0
SM-D9E5T_S90	0
SM-D9EQH_S64	0
SM-DAIGL_S03	1
LS-15521_S06	1
SM-DAIGA_S10	1
SM-DD44A_S95	1
SM-GE65I_S143	0
LS-15526_S87	1
SM-D9E67_S85	0
SM-GE65I_S131	0
LS-15501_S76	1
SM-D9D6R_S35	0
SM-D9E5N_S36	0
SM-DD43L_S41	1
LS-15524_S22	1
SM-DD44Q_S68	0
SM-DAIFT_S04	1
SM-DAIHD_S62	1
LS-15525_S05	0
SM-DAIGX_S46	1
SM-DD43R_S53	1
SM-D9D86_S35	0
SM-GE63U_S004	0
LS-15524_S13	1
SM-DAIGA_S27	1
SM-GE668_S004	0
SM-D9EQL_S13	1
SM-DAIFI_S20	1
SM-DAIFB_S37	0
SM-DAIGV_S18	1
LS-15532_S46	1
SM-GE631_S009	0
SM-DAIFU_S13	0
LS-15533_S02	1
SM-DD44S_S91	0
SM-D9D86_S20	0
SM-DAIG6_S07	0
SM-DD43M_S31	1
SM-DAIFC_S02	0
SM-D9E4M_S30	0
SM-DD44Q_S69	0
SM-DAIGV_S44	0
SM-DAIG4_S85	0
SM-D9E5U_S12	0
SM-DAIFV_S47	0
SM-DAIGK_S27	0
SM-DAIFW_S68	0
SM-DAIGR_S24	0
SM-DAIGQ_S40	1
SM-D9D8H_S48	1
SM-DAIG7_S58	1
SM-DAIGR_S41	0
SM-DAIGX_S05	0
SM-DAIFU_S38	0
SM-DAIGR_S21	0
SM-DAIFH_S02	1
SM-DAIG4_S41	0
SM-DAIGU_S44	1
SM-DD44O_S13	1
SM-DAIGA_S24	0
SM-DAIG4_S56	0
LS-15526_S83	1
SM-DAIHC_S46	1
SM-GE63U_S035	0
SM-D9D7X_S85	0
SM-D9E5E_S31	0
SM-D9E5E_S29	0
SM-D9EQC_S11	0
SM-GE63U_S110	0
LS-15522_S62	0
SM-GE631_S109	0
SM-D9D8Q_S20	0
SM-DAIG8_S65	0
SM-DAIGQ_S12	0
SM-GE65A_S133	0
LS-15395_S48	1
SM-D9E6R_S47	0
LS-15396_S81	1
SM-D9E5O_S47	0
LS-15501_S78	1
SM-D9D8K_S29	0
SM-DAIFU_S33	0
SM-DAIG5_S52	0
SM-DAIGL_S57	0
SM-D9D7V_S38	0
SM-DAIFI_S14	1
SM-GE659_S004	0
LS-15522_S13	1
LS-15532_S53	1
SM-DAIGP_S05	1
SM-DAIGP_S07	1
SM-DAIFH_S12	1
SM-GE631_S006	0
LS-15521_S04	1
SM-DD43R_S65	1
SM-DAIGX_S28	1
SM-D9EQF_S03	1
SM-D9D8H_S38	1
SM-D9D86_S12	0
SM-GE666_S095	0
SM-D9ER5_S06	1
SM-D9D7Q_S17	1
LS-15500_S28	1
SM-D9D8Q_S22	0
SM-GE66H_S191	0
LS-15500_S24	1
LS-15396_S52	1
SM-GE666_S078	0
SM-DAIG7_S60	1
SM-DAIH5_S04	1
SM-D9EQF_S22	0
SM-D9EQK_S59	1
SM-DAIH5_S08	1
SM-DAIFH_S07	1
SM-DAIFS_S63	0
SM-DAIFS_S47	1
SM-DAIG5_S67	0
SM-D9E5O_S45	0
SM-D9D7Y_S14	1
LS-15524_S78	1
LS-15521_S02	1
SM-D9D7Y_S29	0
SM-GE8ZO_S064	0
SM-GE63U_S020	0
SM-DAIG7_S62	1
SM-GE63U_S036	0
SM-DAIHG_S59	1
SM-DD44O_S15	1
LS-15510_S32	0
LS-15524_S23	1
SM-D9EQJ_S09	0
SM-DAIFT_S03	1
SM-GE63U_S013	0
LS-15526_S75	1
SM-GE66H_S174	0
SM-DAIFW_S72	0
LS-15521_S37	1
SM-D9EQT_S58	1
SM-DAIHC_S49	1
SM-DAIG4_S36	0
SM-D9E5S_S35	0
SM-D9ER5_S03	0
SM-D9D8R_S31	1
LS-15524_S80	1
SM-DAIGL_S68	0
SM-DAIFV_S59	0
LS-15532_S62	1
SM-DAIG7_S57	1
SM-D9E66_S20	0
LS-15533_S04	1
SM-D9EQU_S69	1
LS-15520_S43	1
LS-15521_S10	1
SM-DAIHC_S60	1
LS-15526_S73	1
SM-D9D7Y_S30	0
SM-DD443_S43	1
SM-GE65I_S099	0
SM-DAIFR_S42	0
LS-15500_S27	1
SM-D9EQM_S37	1
SM-DAIGA_S26	0
SM-D9E5S_S79	1
SM-D9E66_S23	0
SM-DAIG6_S57	0
SM-GE659_S015	0
SM-DAIFV_S44	0
SM-GE65I_S142	0
SM-D9D7V_S40	0
SM-DAIG7_S92	0
SM-D9D8Q_S02	0
SM-DD443_S60	1
SM-DAIG4_S45	0
SM-DAIG4_S34	0
SM-D9E66_S16	0
SM-D9E67_S84	0
SM-DD43R_S64	1
SM-DAIGL_S70	0
SM-D9E5E_S16	1
SM-DAIHE_S43	1
SM-DAIH5_S56	0
SM-DAIG8_S42	0
SM-GE668_S010	0
SM-D9E5T_S58	0
LS-15510_S16	1
LS-15524_S49	1
SM-DAIFH_S62	0
SM-GE66H_S157	0
SM-GE666_S061	0
SM-D9D8Q_S14	0
SM-D9D85_S03	0
LS-15510_S27	0
SM-DAIGP_S09	0
SM-DD43S_S59	1
SM-DAIFV_S57	0
SM-GE63U_S017	0
SM-D9D8O_S33	1
LS-15534_S08	1
LS-15396_S54	1
LS-15533_S07	1
SM-D9D7X_S93	0
SM-DAIGY_S14	1
SM-D9EQM_S39	1
SM-DD43S_S64	1
SM-DAIGK_S10	0
SM-DAIH6_S05	0
SM-DAIG5_S42	0
SM-DAIGR_S53	0
SM-D9D7Y_S25	0
SM-DAIGA_S23	1
SM-D9E5R_S67	0
SM-D9D7V_S37	0
